artifact_id,source_file,source_sha256,public_file,public_sha256,sanitization
hosted_cell,bakeoff/run_cell.sh,6750910482cfc4a01a9fc1ade36a6531cde8c527d5fe8f9f229bb03e945492cd,runner/archive/v1-hosted-run-cell.sh,6750910482cfc4a01a9fc1ade36a6531cde8c527d5fe8f9f229bb03e945492cd,byte_identical
hosted_main,18-run-opencode-go-sweep.sh,dc74b01bd6551df6fd79dbe2e7e4843e06bf35088546e6b3ed5bdac8a53652bb,runner/archive/v1-hosted-sweep.sh,d937929cd6fcb98bacbc75ded864718f199e6f4d7c709b50c95210ee58ded015,workstation_root_parameterized
hosted_addon,19-run-opencode-go-addon-sweep.sh,4fb700cd51185848f4dda4815aa0db197ee3b8c83e0f28c46458610136e90779,runner/archive/v1-hosted-addon-sweep.sh,6f0a8d3a7af02dc63aa78cbfa1b3ae707143773078b5ba90961321e004b6885a,workstation_root_parameterized
local_main,20-run-claude-ollama-local-sweep.sh,e6c313ed879aa5de2210321230cfab92f21b9e562372f9e4eb0e75ea8274636d,runner/archive/v1-local-sweep.sh,0f9f0188ede8d171be5ee63d0bac1b548413c5fd968143c5897dddf4f6b3a6a2,workstation_root_and_wrapper_path_parameterized
qwen27_followup,22-run-qwen27-claude-ollama-force-card10.sh,3e561e89708f725749bc035125697fbf8f7f27fa992966a7b266f605eba71383,runner/archive/v1-qwen27-followup.sh,1b2aa4455a9f6a0ade643f11ac5d0c72d5676900c33ee87506fae585528fca39,workstation_root_and_wrapper_path_parameterized
gemma_card10_followup,23-run-gemma-card10-only.sh,e638137524a8764130f0753a5e29f7199c2b347783a4c4b2471e065a05fb5d07,runner/archive/v1-gemma-card10-followup.sh,4a5778b127d8fe78b80db81992fa5ca416de7ad153633421c90878bbd4ebeb1b,workstation_root_and_wrapper_path_parameterized
